"PLAYER" "TEAM" "POS" "GP" "G" "A" "P" "P.GP" "X..." "Sh" "Sh." "TOI" "EXP..YEAR" "CAP.HIT"
"Bo Horvat" "NYI" "C" 81 33 35 68 0.84 "-1" "248" "0.13" "19:41" 2031 8500000
"Steven Stamkos" "TBL" "LW, C" 79 40 41 81 1.03 "-21" "262" "0.15" "18:13" 2024 8500000
"Mika Zibanejad" "NYR" "C" 81 26 46 72 0.89 "15" "221" "0.12" "19:44" 2030 8500000
"Leon Draisaitl" "EDM" "C, LW" 81 41 65 106 1.31 "26" "217" "0.19" "20:41" 2025 8500000
"Pierre-Luc Dubois" "LAK" "C" 82 16 24 40 0.49 "-9" "146" "0.11" "15:42" 2031 8500000
"Filip Forsberg" "NSH" "LW" 82 48 46 94 1.15 "16" "347" "0.14" "18:54" 2030 8500000
"Sebastian Aho" "CAR" "C" 78 36 53 89 1.14 "34" "216" "0.17" "19:37" 2024 8460250
"Roope Hintz" "DAL" "C" 80 30 35 65 0.81 "26" "182" "0.16" "17:14" 2031 8450000
"Tim Stützle" "OTT" "C" 75 18 52 70 0.93 "-17" "192" "0.09" "21:07" 2031 8350000
"Brady Tkachuk" "OTT" "LW" 81 37 37 74 0.91 "1" "357" "0.1" "19:08" 2028 8205714
"Tomas Hertl" "VGK" "C" 54 17 21 38 0.7 "-28" "124" "0.14" "20:29" 2030 8137500
"Robert Thomas" "STL" "C, RW" 82 26 60 86 1.05 "9" "170" "0.15" "20:57" 2031 8125000
"Jordan Kyrou" "STL" "RW" 82 31 36 67 0.82 "-12" "251" "0.12" "18:19" 2031 8125000
"Ryan Johansen" "PHI" "C, RW" 63 13 10 23 0.37 "-6" "78" "0.17" "13:38" 2025 8e+06
"Jack Hughes" "NJD" "C" 62 27 47 74 1.19 "-12" "274" "0.1" "20:58" 2030 8e+06
"JT Miller" "VAN" "C, LW, RW" 81 37 66 103 1.27 "32" "194" "0.19" "19:29" 2030 8e+06
"Joshua Norris" "OTT" "C" 50 16 14 30 0.6 "-6" "115" "0.14" "17:38" 2030 7950000
"Kevin Fiala" "LAK" "RW, LW" 82 29 44 73 0.89 "1" "225" "0.13" "18:02" 2029 7875000
"Nick Suzuki" "MTL" "C" 82 33 44 77 0.94 "-14" "185" "0.18" "21:15" 2030 7875000
"Jesper Bratt" "NJD" "RW, LW" 82 27 56 83 1.01 "-6" "248" "0.11" "19:18" 2031 7875000
"Alex DeBrincat" "DET" "LW, RW" 82 27 40 67 0.82 "1" "237" "0.11" "17:53" 2027 7875000
"Cole Caufield" "MTL" "LW, RW" 82 28 37 65 0.79 "-4" "314" "0.09" "19:25" 2031 7850000
"Evgeny Kuznetsov" "CAR" "C" 63 8 16 24 0.38 "-11" "96" "0.08" "17:33" 2025 7800000
"Jason Robertson" "DAL" "LW, RW" 82 29 51 80 0.98 "19" "231" "0.13" "18:19" 2026 7750000
"Andrei Svechnikov" "CAR" "LW, RW" 59 19 33 52 0.88 "13" "144" "0.13" "16:58" 2029 7750000
"Sean Couturier" "PHI" "C" 74 11 27 38 0.51 "-10" "192" "0.06" "17:49" 2030 7750000
"Elias Pettersson" "VAN" "C, LW" 82 34 55 89 1.09 "20" "207" "0.16" "19:39" 2024 7350000
"Nico Hischier" "NJD" "C" 71 27 40 67 0.94 "-5" "182" "0.15" "19:28" 2027 7250000
"Clayton Keller" "UTA" "LW, RW" 78 33 43 76 0.97 "-20" "228" "0.14" "19:14" 2028 7150000
"Tage Thompson" "BUF" "C" 71 29 27 56 0.79 "-1" "246" "0.12" "18:07" 2030 7142857
"Kyle Connor" "WPG" "LW" 65 34 27 61 0.94 "-6" "221" "0.15" "19:43" 2026 7142857
"Kevin Hayes" "STL" "C" 79 13 16 29 0.37 "0" "153" "0.09" "14:28" 2026 7142857
"Dylan Cozens" "BUF" "C, LW" 79 18 29 47 0.59 "-4" "200" "0.09" "17:13" 2030 7100000
"Anders Lee" "NYI" "LW" 81 20 17 37 0.46 "2" "185" "0.11" "15:34" 2026 7e+06
"Nazem Kadri" "CGY" "C" 82 29 46 75 0.91 "0" "277" "0.1" "18:25" 2029 7e+06
"Matthew Boldy" "MIN" "RW, LW" 75 29 40 69 0.92 "5" "227" "0.13" "18:54" 2030 7e+06
"Troy Terry" "ANA" "RW" 76 20 34 54 0.71 "-10" "172" "0.12" "18:17" 2030 7e+06
